4463 16 320 75 2323 1140 71 230 58 40 24 2979 8 34 15 8 7268 10 168 7 1402 5 2 ||| 584 717 574 881 1007 255 33 366 907 984 948 101 1021 365 924 917 101 1021 797 172 255 101 1021 797 710 255 101 1021 797 710 416 101 1021 797 710 416 101 420 797 710 948 101 420 797 313 948 101 420 582 313 948 101 72 795 965 234 101 420 587 965 416 101 420 363 965 908 101 420 921 891 908 101 420 921 891 948 101 72 921 0 948 101 1021 921 0 775 101 1021 587 891 775 101 420 921 313 775 101 72 921 53 775 372 72 275 53 775 372 72 275 313 775 101 72 275 1007 775 101 72 704 172 416 101 612 587 118 775 101 72 704 99 948 101 612 795 965 647 101 612 795 965 948 101 612 354 965 647 101 420 354 710 234 101 420 364 710 416 101 420 354 965 1008 101 72 354 16 1008 101 72 275 0 1008 372 72 704 0 1008 372 72 368 0 894 372 72 275 0 1008 372 72 921 0 1008 372 72 921 0 1008 372 72 921 0 1008 372 72 275 313 1008 372 72 275 16 894 372 72 275 313 894 372 72 881 0 894 66 469 315 250
4237 40 69 44 66 27 126 14 11 7269 1227 100 166 185 544 15 8972 6 544 15 494 6 54 40 85 507 23 3975 8973 10 23 9 155 75 17 115 3 279 3 17 70 115 336 5 2 ||| 1008 717 334 78 924 1008 73 57 364 924 1008 187 973 364 965 1008 101 973 795 965 1008 321 973 354 753 1008 101 973 5 965 416 101 612 587 509 775 101 612 587 509 567 101 612 587 509 416 101 612 587 759 948 101 973 275 509 948 101 72 275 509 416 101 72 587 509 416 101 72 354 965 775 101 973 795 16 416 101 973 354 891 775 101 973 354 891 775 101 612 587 891 775 101 612 354 891 948 101 612 354 924 775 101 973 795 924 416 101 72 795 509 416 101 612 795 509 234 101 612 795 509 234 101 973 582 781 234 101 616 582 781 948 101 547 582 753 647 101 547 365 753 647 101 547 582 753 908 101 612 795 965 647 101 973 795 509 416 101 612 587 509 948 101 72 582 165 234 101 420 797 513 234 101 1021 797 710 647 101 1021 365 924 647 122 420 365 924 647 122 612 365 924 647 122 612 365 924 647 101 420 797 710 647 101 420 797 710 948 101 420 797 710 908 101 72 797 710 416 101 72 582 244 775 101 72 795 118 775 101 612 587 118 775 101 612 795 118 416 101 612 365 118 416 101 277 943 811 908 101 277 943 811 416 101 277 943 811 948 101 277 943 710 416 372 277 943 710 416 372 277 943 710 416 372 277 943 710 416 372 277 943 710 234 372 277 943 710 416 101 973 351 99 1008 101 72 795 99 416 101 612 587 759 416 101 973 619 499 416 101 612 587 224 416 101 612 795 224 416 101 616 582 925 908 101 616 582 925 948 101 616 582 925 948 101 616 582 925 416 101 420 795 753 416 372 420 907 509 433 66 197 530 250
8122 22 15 70 6 22 15 109 79 2324 14 11 96 14 79 8976 33 2803 6 10 22 15 11 70 3394 649 5 2 ||| 528 358 559 907 99 416 33 334 363 99 416 101 420 368 509 1008 101 612 587 0 1008 101 612 587 759 1008 101 612 921 118 416 101 72 354 0 433 33 420 582 172 433 33 420 582 118 416 33 72 582 172 416 101 72 795 118 732 33 612 587 118 732 33 612 587 118 732 33 973 587 118 234 122 973 587 118 234 33 973 587 118 234 33 72 275 118 416 101 72 275 1007 416 101 420 704 172 416 101 1021 587 99 732 101 612 587 99 732 101 1021 587 925 1008 33 612 582 99 1008 372 72 582 250 775 372 72 582 165 416 372 72 797 313 416 101 72 797 710 416 101 420 797 710 775 33 72 797 710 416 33 1021 797 924 416 33 420 797 710 416 33 1021 797 924 775 33 420 797 924 416 33 600 943 710 234 358 277 943 710 234 372 277 943 710 234 372 277 943 710 234 372 277 943 710 234 372 277 943 710 234 372 277 943 710 234 372 277 943 710 234 470 277 943 710 433 66 228 911 250
7702 15 58 7 9 92 6 77 89 25 7 467 14 7 6107 1660 5 2 ||| 570 470 228 943 710 416 372 277 943 710 948 101 277 797 710 948 101 973 797 965 948 101 72 797 924 948 101 420 582 924 775 101 1021 582 891 775 101 420 582 965 416 101 420 488 965 416 101 420 582 965 775 101 1021 582 965 775 101 547 365 965 416 101 1021 582 965 775 101 420 365 965 775 101 420 365 924 567 101 420 797 924 416 33 420 365 924 433 66 197 488 924
12044 20 406 111 11 3 41 1044 8 12 5 2 ||| 917 717 334 960 565 908 372 57 5 313 948 101 72 275 16 775 101 72 704 172 775 101 72 704 172 775 101 72 704 313 775 101 72 704 313 416 101 72 704 172 775 101 1021 921 0 775 101 420 921 9 775 101 420 921 1007 1008 101 420 921 313 1008 101 420 921 9 1008 101 420 921 984 584 101 420 921 9 1008 101 72 921 9 775 101 420 921 9 775 101 420 921 9 775 101 72 921 1007 1008 101 72 921 0 775 101 72 795 565 775 372 72 275 313 775 372 72 275 313 775 372 72 275 313 584 372 72 907 313 584 470 248 615 313
4463 23 6 12 20 229 17 6108 38 11 2323 3395 17 6108 25 3 10 23 25 6 10 12 20 87 229 11 165 972 17 8977 5 2 ||| 1008 717 559 718 99 894 372 939 718 759 894 372 72 275 313 775 372 72 275 313 775 372 72 921 313 775 372 420 921 99 775 101 612 921 891 775 101 612 921 891 584 101 973 921 891 998 321 973 921 891 998 321 600 921 509 775 101 277 275 759 948 372 277 364 313 948 101 277 943 710 948 372 277 943 710 948 372 277 943 710 416 372 277 943 710 416 372 277 943 710 416 372 277 943 710 416 372 277 943 710 234 372 277 943 710 416 372 600 351 313 775 101 72 275 759 1008 372 72 368 0 1008 101 72 921 9 584 101 72 368 1007 1008 372 72 368 1007 775 101 72 275 1007 775 101 420 587 0 775 101 420 587 0 775 101 420 275 99 775 372 72 275 313 775 101 72 275 99 775 372 72 275 313 1008 101 72 368 0 1008 101 72 587 9 416 101 72 704 118 416 101 72 368 118 416 101 72 921 1007 416 372 612 921 891 234 101 72 354 172 234 101 72 354 965 416 101 72 795 965 416 101 420 795 965 1008 101 1021 587 0 948 101 547 587 891 775 101 1021 587 891 775 101 616 1013 781 775 101 616 921 1005 433 470 469 315 1005
4463 23 43 20 2550 28 7 467 14 6107 1660 6 15 13 12 111 15 1066 25 58 90 115 2435 283 5 2 ||| 528 717 559 907 250 416 33 616 911 1005 775 101 612 582 250 775 101 973 795 746 775 101 72 275 313 416 101 612 921 891 775 101 612 275 0 775 101 72 704 965 775 101 72 275 313 584 101 72 921 313 1008 33 1021 921 891 894 33 1021 921 891 1008 33 612 921 891 584 101 612 704 0 584 101 612 5 509 775 101 612 582 753 775 101 616 582 753 775 101 612 582 16 998 101 72 275 250 998 101 420 582 99 775 101 72 275 99 416 101 72 275 313 416 101 72 368 313 416 101 72 368 0 416 101 612 704 0 775 101 612 587 925 416 101 612 587 925 775 101 547 921 109 775 101 547 974 109 775 101 420 921 891 998 372 420 275 313 998 372 420 275 313 1008 372 72 275 313 584 101 420 368 99 894 33 72 695 0 584 66 88 315 1007
4463 12 111 226 8978 1445 23 9 26 103 61 63 79 6107 1660 10 9 26 117 28 7 467 14 11 377 10 278 787 5 2 ||| 570 717 616 1013 781 416 33 616 1013 781 775 101 420 354 53 775 101 420 354 753 775 101 420 354 753 775 101 420 354 965 948 101 72 795 965 948 101 72 795 172 948 101 72 795 982 775 101 72 368 118 998 101 72 368 118 998 101 72 368 118 998 101 72 368 760 775 101 72 368 118 775 101 72 368 43 775 101 72 368 9 775 101 72 704 172 775 101 72 704 172 775 101 72 704 172 775 101 72 704 172 775 101 72 368 172 775 101 72 368 1007 775 101 72 368 1007 775 101 72 368 1007 775 101 72 368 1007 775 101 72 368 172 775 101 72 368 0 775 101 72 368 1007 775 101 72 795 143 775 101 72 795 172 775 101 72 795 172 775 101 420 368 99 775 101 72 795 982 775 101 72 368 99 775 101 72 368 99 775 372 72 368 1007 775 101 72 368 1007 775 101 420 368 0 775 101 1021 921 891 775 101 420 368 313 775 101 1021 365 313 775 101 1021 365 924 775 101 420 365 924 1008 33 420 582 924 998 66 88 911 1007
3 6 109 6 16 27 63 3976 14 8979 6107 714 74 115 3 3 5 2 ||| 917 717 334 960 1007 775 33 72 256 1007 775 101 72 795 1007 775 101 72 795 172 775 101 72 795 1007 775 101 72 795 1007 775 101 72 795 172 775 101 72 275 0 775 101 72 275 172 775 101 72 704 99 775 101 72 704 99 775 101 72 275 1007 775 372 72 275 1007 584 372 72 368 1007 894 33 72 718 1007 894 372 72 718 1007 894 372 72 718 1007 894 33 72 881 9 584 33 72 704 118 584 33 612 704 99 894 33 612 587 891 1008 101 616 587 109 584 101 612 587 925 584 101 612 795 509 584 101 612 795 925 584 101 612 795 925 584 101 612 582 224 584 33 612 582 224 584 33 939 881 250 584 66 18 315 250
9297 5 2 ||| 552 717 228 776 811 528 389 228 378 811
